안성아트센터수소충전소,opc.tcp://192.31.1.10:4880/Naonworks
괴산개미충전소,opc.tcp://192.43.1.10:4880/Naonworks
화성체육시설수소충전소,opc.tcp://192.31.2.10:4880/Naonworks
청주가로수수소충전소,opc.tcp://192.43.2.10:4880/Naonworks
제천삼보수소충전소,opc.tcp://192.43.3.10:4880/Naonworks
춘천동내수소충전소,opc.tcp://192.33.1.10:4880/Naonworks
성남E1수소충전소,opc.tcp://192.31.3.10:4880/Naonworks
양산차고지수소충전소,opc.tcp://192.55.2.10:4880/Naonworks 
청주문의수소충전소,opc.tcp://192.43.4.10:4880/Naonworks
부안수소충전소,opc.tcp://192.63.1.10:4880/Naonworks
전주삼천수소충전소,opc.tcp://192.63.2.10:4880/Naonworks
진천충전소,opc.tcp://192.43.5.10:4880/Naonworks
평택수소생산기지,opc.tcp://192.31.4.10:4880/Naonworks
강서충전소,opc.tcp://192.2.1.10:4880/Naonworks
서산수소충전소,opc.tcp://192.41.1.10:4880/Naonworks
천안버스수소충전소,opc.tcp://192.41.2.10:4880/Naonworks
충주버스수소충전소,opc.tcp://192.43.6.10:4880/Naonworks
평택버스충전소,opc.tcp://192.31.5.10:4880/Naonworks
부안곰소충전소,opc.tcp://192.63.3.10:4880/Naonworks
보령수소충전소,opc.tcp://192.41.3.10:4880/Naonworks
